sample	height	length	width	weight	loc	type	date
16_1	247.7 	95.7 	58.6 	781.4 	Dongying	Northern_Cari	2020_3
16_10	174.1 	123.9 	64.0 	686.8 	Dongying	Northern_Cari	2020_3
16_11	217.8 	104.7 	57.4 	841.4 	Dongying	Northern_Cari	2020_3
16_12	230.6 	123.4 	77.9 	1105.4 	Dongying	Northern_Cari	2020_3
16_13	240.2 	91.5 	63.8 	909.3 	Dongying	Northern_Cari	2020_3
16_14	176.9 	88.1 	45.6 	457.8 	Dongying	Northern_Cari	2020_3
16_15x	180.1 	87.4 	44.0 	469.6 	Dongying	Northern_Cari	2020_3
16_16x	222.8 	105.2 	49.4 	860.7 	Dongying	Northern_Cari	2020_3
16_17	240.7 	116.1 	59.5 	798.1 	Dongying	Northern_Cari	2020_3
16_18	165.1 	115.7 	55.3 	735.3 	Dongying	Northern_Cari	2020_3
16_19	277.6 	90.7 	58.4 	778.0 	Dongying	Northern_Cari	2020_3
16_2	182.5 	106.7 	51.2 	514.5 	Dongying	Northern_Cari	2020_3
16_20	256.7 	128.0 	48.2 	902.6 	Dongying	Northern_Cari	2020_3
16_21	254.3 	108.1 	52.5 	938.4 	Dongying	Northern_Cari	2020_3
16_22	160.8 	126.9 	57.0 	670.5 	Dongying	Northern_Cari	2020_3
16_23x	224.7 	125.1 	50.5 	758.0 	Dongying	Northern_Cari	2020_3
16_24x	242.7 	106.3 	58.7 	940.1 	Dongying	Northern_Cari	2020_3
16_25	178.7 	99.8 	76.4 	847.0 	Dongying	Northern_Cari	2020_3
16_26x	189.4 	99.2 	71.2 	817.7 	Dongying	Northern_Cari	2020_3
16_27x	255.4 	105.6 	58.9 	1002.3 	Dongying	Northern_Cari	2020_3
16_28x	247.3 	109.1 	52.2 	911.5 	Dongying	Northern_Cari	2020_3
16_29	276.1 	107.8 	50.3 	1057.4 	Dongying	Northern_Cari	2020_3
16_3	164.6 	96.8 	65.6 	550.1 	Dongying	Northern_Cari	2020_3
16_5	218.3 	108.5 	61.7 	867.3 	Dongying	Northern_Cari	2020_3
16_6	190.3 	96.1 	47.5 	555.5 	Dongying	Northern_Cari	2020_3
16_7x	157.6 	96.6 	60.5 	669.6 	Dongying	Northern_Cari	2020_3
16_8	207.3 	85.2 	71.2 	724.7 	Dongying	Northern_Cari	2020_3
16_9	279.6 	105.6 	50.5 	1028.7 	Dongying	Northern_Cari	2020_3
17_1	258.8 	100.8 	52.7 	940.4 	Dongying	Northern_Cari	2020_4
17_10	229.9 	89.3 	62.8 	762.6 	Dongying	Northern_Cari	2020_4
17_11	248.3 	88.7 	62.9 	801.2 	Dongying	Northern_Cari	2020_4
17_12	209.5 	110.7 	40.5 	568.1 	Dongying	Northern_Cari	2020_4
